Region,Company,Position,Location,Salary,Application URL,Company URL,Age (days)
International,Hudson River Trading,Algorithm Development - Quant Research Internship - Summer 2026,Singapore,,https://www.hudsonrivertrading.com/careers/job/?gh_jid=6998812,https://www.hudsonrivertrading.com,24.0
International,Jump Trading,Campus Quantitative Researcher - Intern,"Singapore, Mumbai",,https://www.jumptrading.com/careers/6963197?gh_jid=6963197,https://www.jumptrading.com,40.0
International,Jane Street,Quantitative Trader Summer Internship - December-February,HKG,,https://www.janestreet.com/join-jane-street/position/7589526002,https://www.janestreet.com,46.0
International,Optiver,2025 Shanghai Machine Learning PhD Summer Internship,"Shanghai, China",,https://optiver.com/working-at-optiver/career-opportunities/7807006002/?gh_jid=7807006002,https://optiver.com,66.0
International,Razer,AI and Data Application Intern,Singapore,,https://razer.wd3.myworkdayjobs.com/en-US/Careers/job/Singapore/AI-and-Data-Application-Intern_JR2025005906,https://www.razer.com,0.0
International,NBCUniversal,Data Analyst Intern - January - June 2026,Singapore,,https://jobs.smartrecruiters.com/NBCUniversal3/744000071221194-data-analyst-intern-january-june-2026-,https://www.nbcunicareers.com,3.0
International,Valeo,Mandatory Internship in the field of Data Mining,Bietigheim Bissingen,,https://valeo.wd3.myworkdayjobs.com/en-US/valeo_jobs/job/Bietigheim-Bissingen/Mandatory-Internship-in-the-field-of-Data-Mining_REQ2025060725,https://www.valeo.com,3.0
International,Rakuten,Applied scientist intern,Paris rue Reaumur h,,https://rakuten.wd1.myworkdayjobs.com/en-US/RakutenInc/job/Paris-France/Applied-scientist-intern_1025723-4,https://www.rakuten.com,4.0
International,SOPHiA GENETICS,Algorithm Developer Intern,"Rolle, Vaud, Switzerland",,https://careers.sophiagenetics.com/jobs/algorithm-developer-intern-rolle-vaud-switzerland,https://careers.sophiagenetics.com/home,4.0
International,MyShell,AI Overseas Social Media Intern,Remote,,https://job-boards.greenhouse.io/myshell/jobs/4806305008,https://myshell.ai,5.0
International,DRW,CAMPUS RY26 UK Quantitative Trading Analyst Intern,London,,https://job-boards.greenhouse.io/drweng/jobs/6899911,https://drw.com,6.0
International,DRW,Quantitative Research Intern,London,,https://job-boards.greenhouse.io/drweng/jobs/6987105,https://drw.com,6.0
International,Moloco,Data Scientist Intern - Ads Performance - 6 months Internship,"Seoul, Korea",,https://job-boards.greenhouse.io/moloco/jobs/6618689003,https://www.moloco.com,7.0
International,Motional,Machine Learning Internship - Behaviors Research,"Singapore, Central, Singapore",,https://job-boards.greenhouse.io/motional/jobs/6410602003,https://motional.com,9.0
International,NXP Semiconductors,Intern - f/m/d AI Compiler Engineering,Munich,,https://nxp.wd3.myworkdayjobs.com/en-US/careers/job/Munich/Intern--f-m-d--AI-Compiler-Engineering_R-10058903,https://www.nxp.com,10.0
International,Tencent,機械学習開発エンジニアインターン｜Machine Learning Development Engineer Intern,Japan Tokyo Business Tower,,https://tencent.wd1.myworkdayjobs.com/en-US/Tencent_Careers/job/Japan-Tokyo-Business-Tower/-Machine-Learning-Development-Engineer-Intern_R105752-1,https://www.tencent.com,10.0
International,Workstream,Growth Data Analyst Intern,Singapore,,https://job-boards.greenhouse.io/workstream/jobs/5536861004,https://www.workstream.us,11.0
International,Garda Capital Partners,Quantitative Researcher Intern,"Geneva, Geneva, Switzerland",,https://job-boards.greenhouse.io/gardacp/jobs/5584281004,https://www.gardacp.com,12.0
International,JPMorgan Chase,2026 Machine Learning Center of Excellence Summer Associate - Time Series & Reinforcement Learning Internship - 6 months,Hong Kong,,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/job/210643786,http://www.jpmorganchase.com,12.0
International,KRAFTON,Deep Learning Div. Physical AI Team Internship,Seoul,,https://job-boards.greenhouse.io/krafton/jobs/8045946002,https://krafton.com,12.0
International,Philips,Internship: Supply Chain Data Analyst/Scientist - possible with thesis,Eindhoven,,https://philips.wd3.myworkdayjobs.com/en-US/jobs-and-careers/job/Eindhoven/Internship--Supply-Chain-Data-Analyst-Scientist--possible-with-thesis-_557748,https://www.usa.philips.com,12.0
International,DRW,AI Research Intern,Palo Alto,,https://job-boards.greenhouse.io/drweng/jobs/7038690,https://drw.com,13.0
International,DRW,CAMPUS RY26 SING Quantitative Research Intern,Singapore,,https://job-boards.greenhouse.io/drweng/jobs/6990283,https://drw.com,14.0
International,DRW,CAMPUS RY26 SING Quantitative Trading Analyst Intern,Singapore,,https://job-boards.greenhouse.io/drweng/jobs/6989874,https://drw.com,14.0
International,Roche Middle East,RiSM internship in Pharmaceutical R&D for Students in Data Science - Biotechnology - Chemical Engineering and related fields - Basel - 9-12 months,Basel,,https://roche.wd3.myworkdayjobs.com/en-US/roche-ext/job/Basel/RiSM-internship-in-Pharmaceutical-R-D-for-Students-in-Data-Science--Biotechnology--Chemical-Engineering-and-related-fields--Basel--9-12-months-_202507-116681,https://www.roche.com,16.0
International,Diligent,Data Scientist Intern,"Budapest, Hungary",,https://job-boards.greenhouse.io/diligentcorporation/jobs/5389234004,https://www.diligent.com,17.0
International,Docugami,Data Science Graduate Student Intern,France,,https://job-boards.greenhouse.io/docugami/jobs/6639057003,https://www.docugami.com,17.0
International,Productboard,AI Intern,Prague,,https://job-boards.greenhouse.io/productboard/jobs/8046041002,http://www.productboard.com,17.0
International,PZ Cussons,HR Data Analyst Intern,Jakarta,,https://pzcussons.wd3.myworkdayjobs.com/en-US/CareersPZCussons/job/Jakarta/HR-Data-Analyst-Intern_JR002202,https://www.pzcussons.com,18.0
International,Morningstar,Data Analyst Intern- Fluent in Hebrew,Madrid,,https://morningstar.wd5.myworkdayjobs.com/en-US/Americas/job/Madrid/Data-Analyst-Intern--Fluent-in-Hebrew_REQ-051935,https://www.morningstar.com,19.0
International,Cloudflare,Data Analyst Intern - Fall 2025,In Office,,https://boards.greenhouse.io/cloudflare/jobs/7001678?gh_jid=7001678,https://www.cloudflare.com,20.0
International,Shift Technologies,Data Science Fall 2025 intern: Spanish Speaking,Spain Madrid,,https://www.shift-technology.com/careers?gh_jid=6625505003,https://www.shift-technology.com,20.0
International,Shift Technologies,Data Scientist - End-of-studies Internship Spanish Speakers,France Paris Spain Madrid,,https://www.shift-technology.com/careers?gh_jid=6484189003,https://www.shift-technology.com,20.0
International,Bitmovin,AI & Beyond Internship Incubator - Registration 2026,Vienna Klagenfurt Berlin,,https://bitmovin.com/careers/8023403002?gh_jid=8023403002,https://www.bitmovin.com,24.0
International,P&G - Procter & Gamble,Data Scientist Intern,BINH DUONG PLANT,,https://pg.wd5.myworkdayjobs.com/en-US/1000/job/BINH-DUONG-PLANT/Data-Scientist-Intern_R000131597,https://us.pg.com,24.0
International,Renault,Internship Data Analyst - F/M,RO REN ADSA DSI amp Cumparari RBC,,https://alliancewd.wd3.myworkdayjobs.com/en-US/renault-group-careers/job/Bucuresti/Internship-Data-Analyst--F-M-_JOBREQ_50219858,https://www.renaultgroup.com,25.0
International,Tower Research Capital,Quantitative Developer Intern,Paris,,https://www.tower-research.com/open-positions/?gh_jid=7011493,https://www.tower-research.com,25.0
International,Genmab,Intern - Quantitative Translational Pharmacology,Utrecht,,https://genmab.wd3.myworkdayjobs.com/en-US/Genmab_Careers_Site/job/Utrecht/Intern--Quantitative-Translational-Pharmacology_R13688,https://www.genmab.com,26.0
International,Sendbird,Intern - AI Agent Engineering,"Seoul, South Korea",,https://sendbird.com/careers?gh_jid=8027677002,https://sendbird.com/careers,27.0
International,Mindtickle,AI Product Management Intern,Pune Bengaluru,,https://jobs.lever.co/mindtickle/56cc7ba7-efdb-4759-b401-92466820110c/apply,http://mindtickle.com,30.0
International,Appier,Machine Learning Engineer - Intern,"Taipei, Taiwan",,https://job-boards.greenhouse.io/appier/jobs/6986250,https://www.appier.com,32.0
International,Appier,Machine Learning Scientist - Intern,"Taipei, Taiwan",,https://job-boards.greenhouse.io/appier/jobs/6997254,https://www.appier.com,32.0
International,Philips,Internship- AI Product Intern,Amsterdam,,https://philips.wd3.myworkdayjobs.com/en-US/jobs-and-careers/job/Amsterdam/Internship--AI-Product-Intern_555069,https://www.usa.philips.com,32.0
International,Morningstar,Data Analyst Intern- Fluent in Thai,Madrid,,https://morningstar.wd5.myworkdayjobs.com/en-US/Americas/job/Madrid/Data-Analyst-Intern--Asian-Languages_REQ-051194,https://www.morningstar.com,37.0
International,MoneyLion,Machine Learning Scientist - Intern,"Kuala Lumpur, Kuala Lumpur, Malaysia",,https://www.moneylion.com/careers-apply?gh_jid=5423986004,https://www.moneylion.com,38.0
International,VRChat,Trust and Safety Data Analyst Intern,Anywhere,,https://jobs.lever.co/vrchat/304f8a78-3ab8-497c-955a-33a75f78c905/apply,https://hello.vrchat.com,40.0
International,Drivetrain,Intern - AI & Workflow Automation,India,,https://jobs.lever.co/drivetrain/1ea6789e-26c6-45a3-a9bf-ef94102a3c8f/apply,https://drivetrain.ai,42.0
International,Drivetrain,Engineering Intern - Gen AI for FP&A Platform,India,,https://jobs.lever.co/drivetrain/bc1c17bc-86ac-4f00-a1e3-0eb85aae4fdc/apply,https://drivetrain.ai,42.0
International,Shift Technologies,Data Scientist/ Engineer - End of Studies - Intern,Brazil Sao Paolo,,https://www.shift-technology.com/careers?gh_jid=6601645003,https://www.shift-technology.com,45.0
International,World Vision,Data Analyst and Modeler Intern - Onsite,"Pasig City, Philippines",,https://worldvision.wd1.myworkdayjobs.com/en-US/WorldVisionInternational/job/Pasig-City-Philippines/Data-Analyst-and-Modeler-Intern_JR42519,https://www.worldvision.org,46.0
International,MoneyLion,Data Scientist - Intern,"Kuala Lumpur, Kuala Lumpur, Malaysia",,https://www.moneylion.com/careers-apply?gh_jid=4824935004,https://www.moneylion.com,47.0
